"","a_sir1","a_sir2","b_sir1","b_sir2","c_sir1","c_sir2","c_sir3","agri","forest","traffic","water","building","gov","leisure","mine","other","land_iso1","land_iso2"
"a_sir1",0,1,0,0.018,0,0.339,0.001,0.307,0.857,0.49,0.185,0.441,0.254,0.441,0.122,0.037,0.838,0.073
"a_sir2",1,0,0,0,0,0.086,0.012,0.718,0.918,0.431,0.57,0.412,0.822,0.986,0.381,0.926,0.378,0.412
"b_sir1",0,0,0,1,0,0.003,0,0.384,0.282,0.473,0.238,0.293,0.306,0.979,0.008,0.114,0.531,0.302
"b_sir2",0.018,0,1,0,0,0.005,0.171,0.527,0.793,0.501,0.029,0.616,0.522,0.622,0.011,0.278,0.608,0.672
"c_sir1",0,0,0,0,0,1,1,0.181,0.44,0.063,0.799,0.125,0.553,0.765,0.287,0.79,0.985,0.108
"c_sir2",0.339,0.086,0.003,0.005,1,0,1,0.073,0.182,0.192,0.298,0.029,0.428,0.286,0.375,0.358,0.164,0.213
"c_sir3",0.001,0.012,0,0.171,1,1,0,0.123,0.052,0.488,0.143,0.679,0.463,0.816,0.6,0.024,0.96,0.024
"agri",0.307,0.718,0.384,0.527,0.181,0.073,0.123,0,0,0.003,0,0.271,0.167,0,0,0,0,0
"forest",0.857,0.918,0.282,0.793,0.44,0.182,0.052,0,0,0,0,0,0,0,0.688,0,0,0
"traffic",0.49,0.431,0.473,0.501,0.063,0.192,0.488,0.003,0,0,0,0,0,0,0.893,0,0,0
"water",0.185,0.57,0.238,0.029,0.799,0.298,0.143,0,0,0,0,0,0,0,0,0,0.001,0
"building",0.441,0.412,0.293,0.616,0.125,0.029,0.679,0.271,0,0,0,0,0,0,0.096,0,0,0
"gov",0.254,0.822,0.306,0.522,0.553,0.428,0.463,0.167,0,0,0,0,0,0,0,0,0,0
"leisure",0.441,0.986,0.979,0.622,0.765,0.286,0.816,0,0,0,0,0,0,0,0,0.177,0,0
"mine",0.122,0.381,0.008,0.011,0.287,0.375,0.6,0,0.688,0.893,0,0.096,0,0,0,0,0,0
"other",0.037,0.926,0.114,0.278,0.79,0.358,0.024,0,0,0,0,0,0,0.177,0,0,0,0
"land_iso1",0.838,0.378,0.531,0.608,0.985,0.164,0.96,0,0,0,0.001,0,0,0,0,0,0,1
"land_iso2",0.073,0.412,0.302,0.672,0.108,0.213,0.024,0,0,0,0,0,0,0,0,0,1,0
