"","Group.1","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",0,3.12048686733333,5.93954006233333,1.75549491416667,1.41254783766667,5.34547031883333,7.03003841466667,6.68549760833333,5.79832108783333,5.09991767333333,5.10443192133333,6.2645328672,4.920990319,5.08791572716667,5.21536734333333,4.82225694916667,2.2313624935,2.1843866355,2.30516780916667,2.41799201983333,1.8842552925,2.56977904883333,2.70208466866667,2.6826032595,2.20135772666667
"2",5,4.76651178276923,9.49260289923077,4.54898919638462,3.80311611207692,9.60973106946154,9.46973542253846,10.8659238143077,10.230403346,9.40003946723077,10.2164279913077,9.980599875,9.06233603453846,9.29748188669231,8.09018600976923,9.90122574030769,3.69868349327273,3.09809959591667,4.3508721716,4.09804926745455,2.43430686707692,3.43602145030769,4.12796555638462,5.09580068958333,3.73622082276923
"3",15,3.2291601805,7.10649999281818,2.45925417172727,2.76015956663636,6.97349345636364,6.30284005363636,6.10825167172727,6.33820990381818,6.34222661409091,6.67228807063636,7.47341594754545,6.56754558227273,6.328346034,6.80254902009091,6.94367886418182,1.981141901,2.0559430567,2.572451862,3.1963025154,2.52276365027273,2.748454512,3.099708559,3.111503547,2.32413266527273
"4",25,2.88479745805882,6.58283738952941,4.89103213158824,4.17890713258824,5.89796830282353,7.18762498776471,6.54941233364706,6.95896659041176,5.61990358676471,6.79073713547059,7.48224399935294,5.91103166352941,6.17831242676471,5.43092923182353,7.00112974394118,2.0978204928125,2.04830358088235,2.1823657415625,2.6296107370625,2.0025745490625,2.37039663841176,2.72473893141176,2.77463988694118,2.3222266056875
"5",35,3.1293952765,8.22147004483333,3.01592448322222,2.27858540338889,7.68314013283333,7.89020997672222,7.5869214275,7.41163913444444,6.71663193338889,7.49438849922222,8.62912840177778,6.71062881938889,6.44785663644444,7.51786203011111,6.93892733511111,2.0776009715,2.02647104844444,2.5092627445,3.03852752183333,2.13778891655556,2.91260448427778,3.28431448138889,3.14579561888889,2.450620437
"6",45,3.50529233288889,5.98761102011111,2.51971722333333,0.936606043444444,5.38262239,6.15382066922222,6.13726293433333,6.22503120144444,5.40246069166667,6.01598867266667,6.44256026788889,5.392512007,5.11667767144444,5.83906559077778,6.08139260677778,2.37285856,2.33899123766667,2.118944951,2.25205113922222,1.73274042688889,2.37414156066667,2.81189694677778,2.93351171622222,2.19361502644444
"7",55,2.68577730346154,5.97531620438462,2.27324139384615,1.35319089215385,5.50169992676923,5.87549374669231,5.84445719423077,5.32105272792308,4.89863682830769,5.96401854684615,5.22535051007692,4.72181304184615,5.22015319538462,4.93778383,5.346689731,1.81118602607692,1.74601168284615,1.86543161130769,2.10423007192308,1.51619701492308,2.14405418269231,2.46922029984615,2.50385257738462,1.92549706230769
"8",65,2.20541903266667,5.00337859133333,1.53764248866667,0.893809517666667,5.02732216433333,5.232816864,5.01364772833333,4.13351264666667,4.79788389166667,4.37322005633333,4.37322005633333,4.11983821066667,3.914343511,3.866456365,3.68490523833333,1.10270951633333,1.51369891566667,1.51369891566667,2.16780102366667,1.332147789,1.07876594333333,2.19174459666667,2.19174459666667,1.297935079
"9",95,2.719510068,5.439020136,1.359755034,1.359755034,5.439020136,5.439020136,5.439020136,5.439020136,5.439020136,5.439020136,5.439020136,4.759142619,5.439020136,5.439020136,5.439020136,2.039632551,2.039632551,2.039632551,2.039632551,0.679877517,2.039632551,2.719510068,2.039632551,2.039632551
"10",125,2.551983348,5.16722640333333,1.44945757566667,0.865800163333333,5.04962827133333,4.702696468,4.87616236966667,5.103966696,4.81290266233333,4.87616236966667,5.28635388033333,4.821823945,5.28635388033333,4.24708781533333,4.63943676066667,0.984927640333333,1.440536293,1.913987511,1.61400219466667,1.039266065,1.68618318466667,1.913987511,1.913987511,1.33925138133333
"11",250,2.530868142,10.123472568,2.530868142,2.530868142,10.123472568,8.858038497,10.123472568,8.858038497,8.858038497,8.858038497,7.592604426,3.796302213,6.327170355,8.858038497,8.858038497,2.530868142,1.265434071,2.530868142,5.061736284,1.265434071,1.265434071,3.796302213,5.061736284,1.265434071
