,a_sir1,a_sir2,b_sir1,b_sir2,c_sir1,c_sir2,c_sir3,agri,forest,traffic,water,building,gov,leisure,mine,other,land_iso1,land_iso2
land_iso2,0.874,0.134,0.766,0.99,0.131,0,0.405,0.001,0,0,0.643,0,0,0,0.034,0.414,1,0
land_iso1,0.469,0.195,0.355,0.445,0.921,0.839,0.802,0,0,0.002,0,0,0.23,0.131,0,0,0,1
other,0.806,0.143,0.3,0.461,0.834,0.199,0.244,0,0.13,0,0,0,0.032,0.73,0,0,0,0.414
mine,0.703,0.181,0.41,0.816,0.425,0.226,0.6,0,0.921,0.781,0,0.36,0.79,0.31,0,0,0,0.034
leisure,0.97,0.968,0.875,0.573,0.068,0.111,0.847,0.026,0.092,0,0.069,0.024,0,0,0.31,0.73,0.131,0
gov,0.956,0.944,0.575,0.574,0.973,0.171,0.692,0.371,0.055,0,0.793,0,0,0,0.79,0.032,0.23,0
building,0.518,0.656,0.199,0.633,0.39,0.194,0.795,0.66,0.002,0,0.169,0,0,0.024,0.36,0,0,0
water,0.061,0.558,0.4,0.664,0.495,0.406,0.959,0,0.013,0.14,0,0.169,0.793,0.069,0,0,0,0.643
traffic,0.98,0.301,0.287,0.431,0.66,0.284,0.971,0.865,0.001,0,0.14,0,0,0,0.781,0,0.002,0
forest,0.32,0.653,0.535,0.271,0.77,0.023,0.332,0.022,0,0.001,0.013,0.002,0.055,0.092,0.921,0.13,0,0
agri,0.67,0.291,0.671,0.625,0.997,0.042,0.752,0,0.022,0.865,0,0.66,0.371,0.026,0,0,0,0.001
c_sir3,0.351,0.853,0.764,0.714,1,1,0,0.752,0.332,0.971,0.959,0.795,0.692,0.847,0.6,0.244,0.802,0.405
c_sir2,0.026,0.204,0.627,0.208,1,0,1,0.042,0.023,0.284,0.406,0.194,0.171,0.111,0.226,0.199,0.839,0
c_sir1,0.113,0.085,0,0.992,0,1,1,0.997,0.77,0.66,0.495,0.39,0.973,0.068,0.425,0.834,0.921,0.131
b_sir2,0.006,0.243,1,0,0.992,0.208,0.714,0.625,0.271,0.431,0.664,0.633,0.574,0.573,0.816,0.461,0.445,0.99
b_sir1,0,0,0,1,0,0.627,0.764,0.671,0.535,0.287,0.4,0.199,0.575,0.875,0.41,0.3,0.355,0.766
a_sir2,1,0,0,0.243,0.085,0.204,0.853,0.291,0.653,0.301,0.558,0.656,0.944,0.968,0.181,0.143,0.195,0.134
a_sir1,0,1,0,0.006,0.113,0.026,0.351,0.67,0.32,0.98,0.061,0.518,0.956,0.97,0.703,0.806,0.469,0.874
