"","idl","2019-11-28 02:05:25","2019-11-28 02:35:30","2019-11-28 03:05:36","2019-11-28 03:35:41","2019-11-28 04:05:46","2019-11-28 04:35:52","2019-11-28 05:05:57","2019-11-28 05:36:02","2019-11-28 06:06:08","2019-11-28 06:36:15","2019-11-28 07:06:21","2019-11-28 07:36:27","2019-11-28 08:06:33","2019-11-28 08:36:38","2019-11-28 09:06:43","2019-11-28 09:36:49","2019-11-28 10:06:54","2019-11-28 10:36:59","2019-11-28 11:07:04","2019-11-28 11:37:09","2019-11-28 12:07:14","2019-11-28 12:37:20","2019-11-28 13:07:25","2019-11-28 13:37:30"
"1",730,620886,626649,620794,600402,555254,511319,464327,417287,373496,347761,317735,290496,250126,247219,245780,240374,240657,244587,246113,243102,243698,255764,260175,256101
"2",570,491575,479074,461320,449245,429115,405465,379766,352595,328099,300623,282040,268058,240638,235775,243823,252844,260599,268855,274087,276115,279135,267318,281501,293530
"3",578080,250159,233959,219782,205674,191765,178248,164505,149192,135051,121031,104605,93858,88497,93080,103824,118459,135515,156190,174436,184293,196414,220638,249598,277144
"4",1085660,95550,96212,96892,97589,96923,95413,92830,89162,85419,81895,78315,75927,74672,74245,75493,77626,80064,83669,86336,87562,89779,92733,92522,88824
"5",359550,82046,83502,83806,83467,80622,70108,53621,48854,44495,47383,49710,50526,50572,50913,50925,51883,52743,53767,54128,54015,54013,54285,53549,51270
"6",271590,67486,66626,65721,64057,60497,55896,51352,46816,43384,40321,37807,35737,34748,34470,34657,35184,36145,38159,39755,40453,42184,46375,48144,47515
"7",230410,53841,53042,52094,51320,50301,48480,46182,44059,41794,39778,37840,36423,35609,36100,36511,37063,37488,38698,39150,39112,39659,41358,40868,39341
"8",252490,55843,56747,56956,56761,55341,53844,51506,49395,47716,45687,43531,42038,41024,40060,39426,39252,38675,38139,37496,37234,36822,36213,35488,34682
"9",1100600,52478,54778,56967,58890,59150,60115,60299,57883,53354,48123,43106,37800,33570,30059,27581,25538,24165,23003,22184,21503,20992,20792,20563,20423
"10",440,49174,51644,51225,51586,51870,51956,49835,50688,49877,51055,50910,42400,42970,43037,43705,43897,44954,44561,43694,41001,40171,39437,39623,39482
"11",252950,47711,50964,53867,55592,55202,54807,53652,50479,47708,45702,42447,39250,36919,34997,33785,33270,33048,32828,32546,31827,30856,29929,28034,26221
"12",346110,42255,42455,42618,42082,41350,39951,38361,36171,31580,28185,26338,26923,27204,27311,27579,27739,27980,28192,28141,26664,26534,27565,27801,27322
"13",218,38729,39799,39415,39325,38030,30121,31142,29326,27224,25267,22865,21350,20096,19175,18229,17583,16619,16121,15352,14929,14180,13573,12799,12664
"14",218620,31392,32017,31696,31622,31178,30557,29657,28940,27726,27218,26316,25979,25876,25982,26471,26261,25720,25681,25637,25665,25543,25473,25456,25336
"15",4000,32312,32482,32110,31274,30022,27942,26116,24369,22858,21533,20505,19939,19871,19734,19610,19662,19408,19246,18866,18452,18009,17447,17056,16220
"16",105600,29841,30714,31058,31386,31405,30999,30083,28918,28138,27235,26251,25566,25249,25043,25087,25084,25062,25228,24838,24548,23996,23432,22541,21437
"17",381210,28124,28724,28739,28827,28465,27269,25911,24236,22297,20819,19333,18058,17381,17131,16925,16992,16940,17298,17285,17404,17398,17433,17216,16677
"18",227300,27317,27978,28026,27407,25770,23407,20899,18191,15749,13897,12128,10711,9646,8685,8010,7515,7070,6776,6472,6125,5993,5996,6127,6110
"19",289070,26062,26876,27908,28852,29572,29952,29728,29222,28228,27039,26075,25122,24386,24069,24041,24212,24548,24968,24973,24861,24711,24243,23643,22790
"20",872790,21822,22371,22924,23574,23691,23986,24157,23285,21612,19625,17858,16008,14577,13453,12577,12048,11685,11484,11276,11141,10917,10905,10947,10963
