"","sex","variable","value"
"1","M","v39",3.70641367875
"2","F","v39",3.14815398920359
"3","F","v39",1.75064414963313
"4","F","v39",1.57823523397234
"5","F","v39",1.82353035809236
"6","F","v39",2.45488006579272
"7","M","v38",5.32045741970526
"8","F","v38",4.76225785404464
"9","F","v38",2.6275131076093
"10","F","v38",2.17231944514345
"11","F","v38",2.319641978903
"12","F","v38",2.92072207495304
"13","M","v37",5.08701239178246
"14","F","v37",4.62514565106845
"15","F","v37",2.59335284322102
"16","F","v37",2.22178145207448
"17","F","v37",2.3263979485
"18","F","v37",2.9452231302911
